번호,기업명,직무명,질문
1,(주)싸이버로지텍,백엔드개발자,알고리즘에 대해 많이 풀어 보는가요? 기억에 남는 것이 있었나요?
1,(주)싸이버로지텍,백엔드개발자,자신을 한 단어로 표현해 보세요.
1,(주)싸이버로지텍,백엔드개발자,제가 컵을 만들어달라고 할 건데 이 컵을 어떻게 만들지에 대해 질문해 보세요.
3,(주)가비아,백엔드개발자,이전 직장들의 근속연수가 길지 않은 편인데 이유는 무엇인가?
3,(주)가비아,백엔드개발자,가비아를 어떻게 알고 지원하였는가?
3,(주)가비아,백엔드개발자,PHP와 java의 차이점은 무엇인가?
3,(주)가비아,웹개발자,(포트폴리오를 보고) 교내 경진대회 수상은 무슨 내용인가? 왜 수상했다고 생각했는가?
3,(주)가비아,웹개발자,Kotlin으로 언어를 바꾼 것인가?
3,(주)가비아,웹개발자,api통신은 왜 느린가?
3,(주)가비아,개발,가비아를 자신의 친구들에게 소개시켜준다면 어떻게 소개시켜줄 것인가?
3,(주)가비아,개발,가비아에 대해서 어떻게 알게 되었는가?
3,(주)가비아,개발,가비아에 대해서 얼마나 알고 있는가?
3,(주)가비아,개발,기비아의 핵심사업에 대해 설명해보시오.
3,(주)가비아,개발,마지막으로 하고 싶은 말이 있는가?
3,(주)가비아,개발,자기소개해보시오.
3,(주)가비아,개발,지원동기는 무엇인가?
3,(주)가비아,IT,"대형마트에서 판매 아르바이트를 했다고 하는데, 그때 본인만의 특별한 영업 방식이 있었는가?"
3,(주)가비아,IT,좋은 영업인에게 필요한 덕목은 무엇이라고 생각하는가?
3,(주)가비아,IT,평소에 가족들과 대화를 많이 하는 편인가?
3,(주)가비아,개발,1분 동안 자기소개를 해보시오.
3,(주)가비아,개발,간단히 자기소개해보시오.
3,(주)가비아,개발,"리눅스 명령어, 디렉토리, 스크립트를 어떤 용도로 사용할 것인가?"
3,(주)가비아,개발,어떤 프로젝트를 경험했는지 설명해보시오.
3,(주)가비아,개발,이 직무를 몇년 동안 할 것 같나요?
3,(주)가비아,개발,자소서에 적힌 프로젝트 경험에 대해 설명해보시오.
3,(주)가비아,개발,지원동기는 무엇인가?
3,(주)가비아,개발,클러스터링과 넌클러스터링의 차이점은 무엇인가?
3,(주)가비아,개발,프로젝트 경험에 대해서 말해보시오.
3,(주)가비아,개발,학점이 낮은 이유는 무엇인가?
4,나이스피앤아이(주),백엔드개발자,알고리즘 문제를 많이 풀었는데 다른 기업에는 어떻게 보셨나요?
4,나이스피앤아이(주),백엔드개발자,취미가 무엇인가요?
4,나이스피앤아이(주),백엔드개발자,보안 관련해서 우리한테 설명해주고 싶은 게 있나요?
6,㈜KT,시스템엔지니어,자기소개를 해보세요.
6,㈜KT,시스템엔지니어,힘든점은 없었나요?
6,㈜KT,시스템엔지니어,마지막으로 하고 싶은 말은?
6,㈜KT,네트워크엔지니어,반도체 전공인데 왜 보안을 지원했나요?
6,㈜KT,네트워크엔지니어,자신이 기여할 수 있는 부분이 어떤 부분이라고 생각하나요?
6,㈜KT,네트워크엔지니어,우리 회사에 지원한 이유는?
6,㈜KT,네트워크엔지니어,무모한 도전을 해본 적 있습니까?
6,㈜KT,네트워크엔지니어,"자기소개서를 보면 좋게말하면 다재다능이지만, 돌려말하면 직무에 연관된 점은 적은데 이건 어떻게 생각하십니까?"
6,㈜KT,네트워크엔지니어,급박한 상황에 대한 대처경험이 있습니까?
6,㈜KT,웹기획,KT에서 어떤일을 하고싶은지
6,㈜KT,웹기획,IT컨설팅에 대해서 알고 있는 것은?
6,㈜KT,웹기획,더 하고싶은 말이 있는지
6,㈜KT,네트워크엔지니어,왜 KT에 지원했나요?
6,㈜KT,네트워크엔지니어,입사 후 포부에 대해서 말해보세요.
6,㈜KT,네트워크엔지니어,OSI 7계층에 대해서 설명해보세요.
6,㈜KT,네트워크,"서버, 보안 등 네트워크 이외의 지식도 있는가?"
6,㈜KT,IT,빅데이터에 관해 설명해봐라.
6,㈜KT,IT,황금주파수가 무엇인가?
6,㈜KT,IT,"show, olleh, qook이 뭔지 아느냐 설명해봐라."
6,㈜KT,네트워크엔지니어,KT가 앞으로 어떤 미래사업에 투자해야 할지 말해보세요.
6,㈜KT,네트워크엔지니어,"KT의 장점과 그렇게 말할 수 있는 근거를 대보세요. 
또한 그러한 KT의 장점을 잘 살릴 수 있는 방안에 대해서 말해보세요."
6,㈜KT,IT,본인이 했던 인턴 경험이 해당 직무와 어떻게 관련이 있는지 말해보시오.
6,㈜KT,네트워크,"대외 활동 많이 하고 성적이 좋은데, 어떻게 관리했나?"
6,㈜KT,네트워크,통신사에 왜 지원했는가?
6,㈜KT,IT,자신있는 언어는 무엇인가?
6,㈜KT,IT,전공이 KT에 어떤 기여를 할 수 있는지 설명하시오.
6,㈜KT,IT,최후 변론과 궁금한 점에 대해 말해보시오.
6,㈜KT,IT,풍력 발전기의 최신 기술을 설명하시오.
6,㈜KT,IT,해왔던 프로젝트에 대해 설명해보시오.
6,㈜KT,IT,협업 시 생긴 문제를 해결한 경험이 있는가?
6,㈜KT,IT,"교환학생을 다녀왔는데, 왜 다녀왔는가?"
6,㈜KT,IT,미래 KT의 계획에 대한 생각을 말해보시오.
6,㈜KT,IT,본인의 스트레스 해소법에 대해 말해보시오.
6,㈜KT,IT,"올해 초 주파수 경매가 있었는데, 이에 대해 아는 대로 얘기해봐라."
6,㈜KT,IT,"이 프로젝트를 한 이유는? 거기서 본인이 한 역할은 무엇이며, 무엇을 배웠는가?"
6,㈜KT,IT,케이티에 대해 구글링해서 나오는 것을 제외하고 알고있는 것
6,㈜KT,IT,KT에서 하고 싶은 게 뭡니까?
6,㈜KT,IT,KT의 해외 확장 가능성에 대해 말해보시오.
6,㈜KT,네트워크엔지니어,가장 힘들었던 일에 대해 얘기해주세요.
6,㈜KT,네트워크엔지니어,졸업 작품에 대해 설명해주세요.
6,㈜KT,IT,미래 KT의 계획에 대한 생각은 무엇입니까?
6,㈜KT,네트워크엔지니어,프로젝트 도중 팀원과 갈등 상황이 생겼을 때의 해결 방법을 말해보세요.
6,㈜KT,네트워크엔지니어,"IoT가 다음 세대의 화두가 될 것이라 얘기했는데, 생각해 본 상품이 있나요?"
6,㈜KT,IT,케이티의 신기술에 대해 아는 것이 있습니까?
6,㈜KT,네트워크엔지니어,"네트워크에서 오류 제어 방식 중 backward 방식과 forward 방식이 있는데, 두 가지에 대해 아는 대로 설명해보세요."
6,㈜KT,네트워크엔지니어,자기소개서에 있는 내용 말고 다른 프로젝트를 하면서 겪었던 어려움이 있나요?
6,㈜KT,네트워크엔지니어,"지원자가 소프트웨어 개발을 좋아하는 것 같은데, KT는 개발과는 거리가 좀 있는 편입니다. 알고 있나요?"
6,㈜KT,네트워크엔지니어,"동아리 활동을 하며 어떤 일을 했고, 무엇을 배웠는가?"
6,㈜KT,네트워크엔지니어,학점이 낮은 이유는 무엇인가?
6,㈜KT,네트워크엔지니어,네트워크 직무에서 가장 필요한 역량은 무엇이라고 생각하나요?
6,㈜KT,개발,마지막으로 하고 싶은 말이 있다면 해보세요.
6,㈜KT,개발,본인의 30년 후 모습에 대해 이야기해보세요.
6,㈜KT,개발,사용할 수 있는 프로그래밍 언어는 어떤 것이 있나요?
6,㈜KT,개발,지원자는 리더와 묵묵히 일하는 팀원 중 어느 유형에 속하나요?
6,㈜KT,CS,20대의 트렌드를 분석하고 KT CS의 신사업 혹은 마케팅 아이디어를 제시하시오
6,㈜KT,IT,대학원 과정이 자신의 목표인지 과정인지를 답해보시오
6,㈜KT,IT,리눅스 유닉스 로그인 설정파일은?
6,㈜KT,IT,셔츠를 왜 다려오지 않았는가?
6,㈜KT,IT,유무선 네트워크의 차이점이 무엇인가?
6,㈜KT,IT,자바에 대해 설명하시오
6,㈜KT,IT,자신의 역량을 KT에 어떻게 기여할 수 있는가
6,㈜KT,IT,자신의 역량을 KT에서 활용했을 때 어떤 신사업을 발굴할 수 있는가?
6,㈜KT,IT,최근 가장 감명받은 것은?
6,㈜KT,IT,코어망과 액세스망이 무엇인가?
6,㈜KT,IT,프로젝트 경험이 있는가?
6,㈜KT,IT,KT 5대 미래 융합과제를 써놓았는데 뭔지 알고 있는가?
6,㈜KT,IT,팀 프로젝트 시에 본인이 맡은 역할은?
6,㈜KT,네트워크,1분 자기소개를 해보세요.
6,㈜KT,네트워크,사람들이 나의 팬이 되도록 했던 경험이 있나요?
8,신한카드(주),웹개발자,vm과 도커의 차이는 무엇인가요?
8,신한카드(주),웹개발자,grpc는 왜 사용했나요?
8,신한카드(주),웹개발자,평소 자바에서 널처리나 에러 처리를 위해 사용한 적이 있나요?
8,신한카드(주),IT,"다른 카드 회사가 아닌, 신한카드에 지원한 이유는 무엇인가요?"
8,신한카드(주),IT,상사가 말도 안되는 불가능한 업무를 시킨다면 어떻게 대처하겠습니까?
8,신한카드(주),IT,신용카드 관한 정보를 어디에서 얻는 편인가요?
8,신한카드(주),IT,TA 관점에서 정보보안을 고려한 시스템 설계를 해보세요.
9,㈜카카오스타일,백엔드개발자,http method들의 목적을 말해주세요.
9,㈜카카오스타일,백엔드개발자,Transaction의 격리 수준에 관한 질문
9,㈜카카오스타일,백엔드개발자,인턴을 통해 무엇을 얻어가고자 하나요?
10,현대자동차㈜,개발,(PT면접) 선택한 방안의 실현가능성을 말해보세요
10,현대자동차㈜,개발,가장 도전적이었던 경험은 무엇이었나요?
10,현대자동차㈜,개발,구체적인 목표를 가지고 노력했던 경험을 자세히 말해보세요.
10,현대자동차㈜,개발,성취를 위해 끊임없이 노력했던 경험이 있다면 얘기해보세요.
10,현대자동차㈜,개발,여러 사람들과 협동해서 무언가를 해낸 경험이 있나요?
10,현대자동차㈜,개발,팀으로 계획을 세워 목표를 이룬 경험이 있나요?
10,현대자동차㈜,개발,프로젝트에서 주도적인 역할을 했던 경험을 말해보세요.
10,현대자동차㈜,개발,어떤 전공 지식이 설계에 적용이 될 수 있을까요?
10,현대자동차㈜,개발,"왜 그 안건을 지지했고, 그 단점에 대해 보완할 수 있는 점은 무엇입니까?"
10,현대자동차㈜,개발,왜 현대차에 지원한 이유는 무엇입니까?
10,현대자동차㈜,개발,자동차 관련된 실무 경험이 있나요?
10,현대자동차㈜,개발,현대차에 지원하게 된 동기를 말씀해주세요.
10,현대자동차㈜,개발,현대차의 문제점이라고 생각하는 것은 무엇인가요?
10,현대자동차㈜,개발,A회사를 다니면서 지원한 이유는 무엇인가요?
10,현대자동차㈜,개발,기사에서 나온 얘기 말고 직접 현대자동차를 운전하면서 느낀 장단점은 무엇인가요?
10,현대자동차㈜,개발,변속기를 다단화시킬 수 있는 방법 중에 본인이 창의적으로 생각해 본 해결 방안이 있습니까?
10,현대자동차㈜,개발,변속기의 단수가 많아지면 자동차에 생기는 문제점은 무엇인가요?
10,현대자동차㈜,개발,"본인이 제시한 창의적인 대안과, 기존에 있던 대안과의 장단점을 말해보세요."
10,현대자동차㈜,개발,오늘 면접이 안되면 받았던 것 모두 돌려줘야겠네요?
10,현대자동차㈜,개발,A회사의 장단점은 무엇인가요?
10,현대자동차㈜,개발,가장 도전적이었던 경험은 무엇입니까?
10,현대자동차㈜,개발,가장 힘들었던 경험을 말해보세요.
10,현대자동차㈜,개발,갈등 상황이 있었나요?
10,현대자동차㈜,개발,그 회사를 선택한 이유가 무엇입니까?
10,현대자동차㈜,개발,"그건 기사에서 나온 것 말고, 직접 현대자동차를 운전하면서 느낀 장단점은 무엇입니까?"
10,현대자동차㈜,개발,글로벌 엔지니어의 꿈을 이루기 위해서 몇 년이 필요한가?
10,현대자동차㈜,개발,기업의 복리후생을 아십니까?
10,현대자동차㈜,개발,동아리 활동을 하며 가장 어려웠던 일과 가장 행복했던 일에 대해 말해보세요 .
10,현대자동차㈜,개발,마지막으로 어필하고 싶은 부분이 있다면 얘기해보세요.
10,현대자동차㈜,개발,마지막으로 하고 싶은 말이 있습니까?
10,현대자동차㈜,개발,목표를 세워 노력한 경험이 있나요?
10,현대자동차㈜,개발,본인 의견이 소수에 속하는 의견일 때 어떻게 할 것입니까?
10,현대자동차㈜,개발,본인은 행복하다고 생각하나요?
10,현대자동차㈜,개발,본인의 성격 중 단점은 무엇인가요?
10,현대자동차㈜,개발,본인의 역할로 인한 결과는 어떻습니까?
10,현대자동차㈜,개발,본인의 전공과 지원 직무를 연결하여 보세요.
10,현대자동차㈜,개발,선택한 직무를 위해 어떤 수업을 베웠습니까?
10,현대자동차㈜,개발,선택한 직무를 위해 어떤 수업을 수강했고 무엇을 배웠나요?
10,현대자동차㈜,개발,소통에서 가장 중요한 것은 무엇이낙요?
10,현대자동차㈜,개발,아침밥을 먹고 왔나요?
10,현대자동차㈜,개발,에어 서스펜션이 들어간 현대자동차의 차량을 말해보시오
10,현대자동차㈜,개발,인생에서 가장 도전적이었던 경험은 무엇입니까?
10,현대자동차㈜,개발,자기소개서에서 언급한 내용 외에 목표를 성취했던 경험이 있나요?
10,현대자동차㈜,개발,자주 조장을 맡는 편인가요?
10,현대자동차㈜,개발,전역후 무엇을 할 것인가요?
10,현대자동차㈜,개발,졸업하고 무엇을 할 것인가요?
10,현대자동차㈜,개발,졸업하고 무엇을 했나요?
10,현대자동차㈜,개발,중국어 공부를 한 이유와 어떻게 공부했는지 말해보세요.
10,현대자동차㈜,개발,지원 동기가 무엇입니까?
10,현대자동차㈜,개발,지원동기를 말해보세요.
10,현대자동차㈜,개발,취미가 무엇이고 취미를 가지게 된 계기가 있나요?
10,현대자동차㈜,개발,클러치 최적화 방안은 무엇이 있는지 말해보시오.
10,현대자동차㈜,개발,팀 활동에서 갈등 상황이 있었나요?
10,현대자동차㈜,개발,팀원과 트러블이 있었던 경험이 있습니까?
10,현대자동차㈜,개발,팀으로 활동하면서 도전적인 경험을 이야기 해보세요.
10,현대자동차㈜,개발,팀을 이루어 리더십을 발휘한 경험이 있나요?
10,현대자동차㈜,개발,팀 활동에 불화가 있는 경우 어떻게 해결하였나요?
10,현대자동차㈜,개발,평소에도 팀에서 본인이 조장을 맡는 편인가요?
10,현대자동차㈜,개발,품질 개선 방안에 대해 어떻게 생각합니까?
10,현대자동차㈜,개발,프로젝트를 했던 팀의 성격과 해결 과정을 말해보세요.
10,현대자동차㈜,개발,행복합니까?
10,현대자동차㈜,개발,현대자동차 파워트레인의 장단점에 대해 말해보시오
10,현대자동차㈜,개발,현대자동차가 개발해야 할 기술은 무엇이라 생각하나요?
10,현대자동차㈜,개발,현대자동차의 강점과 약점이 무엇이라고 생각합니까?
10,현대자동차㈜,개발,현대자동차의 복리후생에 대해 아는 대로 말해보세요.
10,현대자동차㈜,개발,현대파워텍과 현대자동차를 비교해보시오
10,현대자동차㈜,개발,A회사를 다니면서 지원한 이유는 무엇인가?
10,현대자동차㈜,개발,A회사의 장단점은 무엇인가?
10,현대자동차㈜,개발,팀원의욕 저하를 해결하는 방법이 있나요?
















































